String,Statement,Label
how glacier caves was formed,Explain how glacier caves was formed,"A partly submerged glacier cave on Perito Moreno Glacier .,The ice facade is approximately 60 m high,Ice formations in the Titlis glacier cave,A glacier cave is a cave formed within the ice of a glacier ."
Explain the relation between velocity and force vectors,Explain the relation between velocity and force vectors,"The rotation around a fixed axis of a three-dimensional body involves circular motion of its parts .,The equations of motion describe the movement of the center of mass of a body ."
how apollo creed die,Introduce how apollo creed die,"He was played by Carl Weathers .,All of Apollo 's championship fights were scheduled for the 15 round distance .,Championship fights did not convert from 15 rounds to 12 rounds until 1987 .,Balboa 's signature colors were black and gold—colors he used in the latest movie ."
what is term for federal judges,Introduce term for federal judges,"All of these judges described thus far are referred to sometimes as `` Article III judges '' because they exercise the judicial power vested in the judicial branch of the federal government by Article III of the U.S. Constitution .,See Article I and Article III tribunals ."
how a beretta model 21 pistols magazines works,Explain the working principle of beretta model 21 pistols magazines ,The Beretta 21A Bobcat is a small pocket-sized semi-automatic pistol designed by Beretta in Italy .
how a vul works,Explain working principle of  vul,"Variable Universal Life Insurance ( often shortened to VUL ) is a type of life insurance that builds a cash value .,The 'variable ' component in the name refers to this ability to invest in separate accounts whose values vary—they vary because they are invested in stock and/or bond markets .,The 'universal ' component in the name refers to the flexibility the owner has in making premium payments .,The premiums can vary from nothing in a given month up to maximums defined by the Internal Revenue Code for life insurance .,This is yet another key advantage of VUL over Whole Life ."
how an outdoor wood boiler works,Explain outdoor wood boiler works,The outdoor wood boiler is a variant of the classic wood stove adapted for set-up outdoors while still transferring the heat to interior buildings .
how big did girl scout cookie boxes used to be,Show how big  girl scout cookie boxes used to be,"A mound of Girl Scout cookies .,This mound contains 74 boxes of cookies,Girl Scout Cookies are cookies sold by Girl Scouts of the USA ( GSUSA ) as one of its major fundraisers for local Scout units .,Members of the GSUSA have been selling cookies since 1917 to raise funds .,Girls who participate can earn prizes for their efforts .,There are also unit incentives if the unit as a whole does well ."
how big is the purdue greek system,Show the scale of purdue greek system,"University Hall,Purdue enrolls the second largest student body of any university in Indiana as well as the fourth largest international student population of any university in the United States .,Purdue 's aviation technology program remains one of the most competitive aviation-specific programs in the world ."
how big do sebaceous cysts get,how big do sebaceous cysts get,A sebaceous cyst ( ) is a term that loosely refers to either epidermoid cysts ( also known as epidermal cysts ; L72.0 ) or pilar cysts ( also known as trichilemmal cysts ; L72.1 ) .
