String,new_string
how glacier caves was formed,[{'generated_text': 'where is the glacier cave formed ?'}]
Explain the relation between velocity and force vectors,[{'generated_text': 'how do the equations of motion describe the movement of a body ?'}]
how apollo creed die,[{'generated_text': 'how many rounds did a championship fight last ?'}]
what is term for federal judges,"[{'generated_text': 'why are these judges sometimes called "" Article III judges "" ?'}]"
how a beretta model 21 pistols magazines works,[{'generated_text': 'why did Beretta make the 21 a Bobcat ?'}]
how a vul works,"[{'generated_text': ""what 's the 'variable ' component in the name ?""}]"
how an outdoor wood boiler works,"[{'generated_text': ""what 's the function of the outdoor wood boiler ?""}]"
how big did girl scout cookie boxes used to be,[{'generated_text': 'how many boxes of cookies are there in this mound ?'}]
how big is the purdue greek system,[{'generated_text': 'what is the largest international student population of any university in the world ?'}]
how big do sebaceous cysts get,[{'generated_text': 'what is a sebaceous cyst ?'}]
Introduce how are pointe shoes made,[{'generated_text': 'what is a pointe shoe ?'}]
how much is 1 tablespoon of water,[{'generated_text': 'what is the capacity of an ordinary tablespoon in the us ?'}]
how much are the harry potter movies worth,[{'generated_text': 'how many publishers are mentioned in the text ?'}]
how a rocket engine works,"[{'generated_text': ""what 's the function of the rocket ?""}]"
how old was britney spears when she recorded hit me baby one more time,"[{'generated_text': 'when did the song "" ... Baby one more time "" become a popular song ?'}]"
how are cholera and typhus transmitted and prevented,[{'generated_text': 'how can we shorten the duration and severity of cholera ?'}]
how old is sybil vane in the picture of dorian gray,[{'generated_text': 'what kind of book is the picture of Dorian Gray considered a classic Gothic fiction ?'}]
how old is zsa zsa gabor 's daughter,[{'generated_text': 'what role did she play in Lovely to look at ?'}]
how bruce lee died,[{'generated_text': 'how old was he when he died ?'}]
how active can one be with copd,[{'generated_text': 'why do some COPD patients require long-term oxygen therapy ?'}]
how did anne frank die,[{'generated_text': 'when did the diary come out ?'}]
how old is kurt cobain 's daughter,[{'generated_text': 'which statement is true according to the article ?'}]
how are aircraft radial engines built,[{'generated_text': 'which is not the characteristic of the radial engine ?'}]
how old were golden girls at time of show,[{'generated_text': 'how many Golden Globe Awards did the series win ?'}]
how deep can be drill for deep underwater,[{'generated_text': 'why is it almost necessary to face the high risks of deepwater drilling ?'}]
how old was monica lewinsky during the affair,[{'generated_text': 'what was the result of the Lewinsky scandal ?'}]
how long was frank sinatra famous,[{'generated_text': 'when wasSinatra honored at the Kennedy Center Honors ?'}]
how big is cornhole hole,[{'generated_text': 'how many players are there on the cornhole board ?'}]
