Question,Document,Label
"how are glacier caves formed ?	A partly submerged glacier cave on Perito Moreno Glacier .	0",,
"how are glacier caves formed ?	The ice facade is approximately 60 m high	0",,
"how are glacier caves formed ?	Ice formations in the Titlis glacier cave	0",,
"how are glacier caves formed ?	A glacier cave is a cave formed within the ice of a glacier .	1",,
"How are the directions of the velocity and force vectors related in a circular motion	The rotation around a fixed axis of a three-dimensional body involves circular motion of its parts .	0",,
"How are the directions of the velocity and force vectors related in a circular motion	The equations of motion describe the movement of the center of mass of a body .	0",,
"how did apollo creed die	He was played by Carl Weathers .	0",,
"how did apollo creed die	All of Apollo 's championship fights were scheduled for the 15 round distance .	0",,
"how did apollo creed die	Championship fights did not convert from 15 rounds to 12 rounds until 1987 .	0",,
"how did apollo creed die	Balboa 's signature colors were black and gold—colors he used in the latest movie .	0",,
"how long is the term for federal judges	All of these judges described thus far are referred to sometimes as `` Article III judges '' because they exercise the judicial power vested in the judicial branch of the federal government by Article III of the U.S. Constitution .	0",,
"how long is the term for federal judges	See Article I and Article III tribunals .	0",,
"how a beretta model 21 pistols magazines works	The Beretta 21A Bobcat is a small pocket-sized semi-automatic pistol designed by Beretta in Italy .	0",,
"how a vul works	Variable Universal Life Insurance ( often shortened to VUL ) is a type of life insurance that builds a cash value .	0",,
"how a vul works	The 'variable ' component in the name refers to this ability to invest in separate accounts whose values vary—they vary because they are invested in stock and/or bond markets .	0",,
"how a vul works	The 'universal ' component in the name refers to the flexibility the owner has in making premium payments .	0",,
"how a vul works	The premiums can vary from nothing in a given month up to maximums defined by the Internal Revenue Code for life insurance .	0",,
"how a vul works	This is yet another key advantage of VUL over Whole Life .	0",,
"how an outdoor wood boiler works	The outdoor wood boiler is a variant of the classic wood stove adapted for set-up outdoors while still transferring the heat to interior buildings .	0",,
"how big did girl scout cookie boxes used to be	A mound of Girl Scout cookies .	0",,
"how big did girl scout cookie boxes used to be	This mound contains 74 boxes of cookies	0",,
"how big did girl scout cookie boxes used to be	Girl Scout Cookies are cookies sold by Girl Scouts of the USA ( GSUSA ) as one of its major fundraisers for local Scout units .	0",,
"how big did girl scout cookie boxes used to be	Members of the GSUSA have been selling cookies since 1917 to raise funds .	0",,
"how big did girl scout cookie boxes used to be	Girls who participate can earn prizes for their efforts .	0",,
"how big did girl scout cookie boxes used to be	There are also unit incentives if the unit as a whole does well .	0",,
"how big is the purdue greek system	University Hall	0",,
"how big is the purdue greek system	Purdue enrolls the second largest student body of any university in Indiana as well as the fourth largest international student population of any university in the United States .	0",,
"how big is the purdue greek system	Purdue 's aviation technology program remains one of the most competitive aviation-specific programs in the world .	0",,
"how big do sebaceous cysts get	A sebaceous cyst ( ) is a term that loosely refers to either epidermoid cysts ( also known as epidermal cysts ; L72.0 ) or pilar cysts ( also known as trichilemmal cysts ; L72.1 ) .	0",,
"how are pointe shoes made	Modern pointe shoes .	0",,
"how are pointe shoes made	A pointe shoe is a type of shoe worn by ballet dancers when performing pointe work .	0",,
"how are pointe shoes made	Pointe shoes developed from the desire for dancers to appear weightless and sylph -like and have evolved to enable dancers to dance en pointe ( on the tips of their toes ) for extended periods of time .	0",,
"how much is 1 tablespoon of water	This tablespoon has a capacity of about 15 mL .	1",,
"how much is 1 tablespoon of water	Measuring Spoons	0",,
"how much is 1 tablespoon of water	The capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation .	0",,
"how much is 1 tablespoon of water	In the USA one tablespoon ( measurement unit ) is approximately 15 mL ; the capacity of an actual tablespoon ( dining utensil ) ranges from 7 mL to 14 mL .	1",,
